iter	Passed	Remaining
539	69404	59122
540	69531	58992
541	69660	58864
542	69793	58739
543	69920	58610
544	70047	58480
545	70171	58347
546	70299	58218
547	70429	58091
548	70553	57959
549	70675	57825
550	70800	57693
551	70929	57565
552	71056	57435
553	71185	57307
554	71312	57178
555	71441	57050
556	71568	56921
557	71699	56793
558	71826	56664
559	71953	56535
560	72083	56407
561	72208	56276
562	72335	56146
563	72461	56016
564	72585	55884
565	72711	55753
566	72835	55622
567	72962	55492
568	73088	55362
569	73213	55231
570	73341	55102
571	73469	54973
572	73596	54843
573	73723	54714
574	73850	54585
575	73977	54455
576	74101	54324
577	74228	54194
578	74350	54061
579	74475	53930
580	74604	53802
581	74725	53668
582	74848	53536
583	74975	53407
584	75103	53278
585	75228	53147
586	75352	53016
587	75478	52886
588	75603	52755
589	75731	52626
590	75860	52498
591	75989	52371
592	76116	52242
593	76242	52111
594	76369	51982
595	76494	51851
596	76617	51719
597	76743	51590
598	76873	51462
599	77000	51333
600	77126	51204
601	77253	51074
602	77383	50947
603	77510	50818
604	77638	50689
605	77766	50561
606	77895	50433
607	78025	50305
608	78150	50175
609	78275	50044
610	78401	49915
611	78526	49784
612	78650	49653
613	78774	49522
614	78897	49391
615	79022	49260
616	79149	49131
617	79272	48999
618	79398	48870
619	79524	48740
620	79651	48611
621	79779	48483
622	79903	48352
623	80028	48222
624	80153	48092
625	80277	47961
626	80403	47831
627	80529	47702
628	80655	47572
629	80780	47442
630	80906	47313
631	81035	47185
632	81162	47056
633	81289	46927
634	81416	46798
635	81540	46667
636	81666	46538
637	81790	46407
638	81916	46278
639	82042	46149
640	82171	46021
641	82299	45892
642	82423	45762
643	82547	45631
644	82675	45503
645	82799	45373
646	82928	45245
647	83055	45116
648	83179	44986
649	83305	44856
650	83432	44728
651	83560	44599
652	83686	44470
653	83810	44340
654	83935	44210
655	84063	44082
656	84192	43954
657	84318	43825
658	84446	43696
659	84574	43568
660	84701	43439
661	84827	43310
662	84952	43180
663	85079	43052
664	85206	42923
665	85332	42794
666	85457	42664
667	85586	42537
668	85713	42408
669	85843	42281
670	85970	42152
671	86097	42023
672	86220	41893
673	86346	41763
674	86472	41635
675	86599	41506
676	86727	41377
677	86852	41248
678	86979	41119
679	87105	40990
680	87229	40860
681	87352	40730
682	87478	40601
683	87604	40472
684	87728	40342
685	87857	40214
686	87986	40086
687	88112	39957
688	88236	39827
689	88360	39698
690	88489	39570
691	88617	39442
692	88745	39314
693	88872	39185
694	89005	39060
695	89133	38931
696	89263	38804
697	89388	38675
698	89520	38548
699	89651	38422
700	89776	38292
701	89901	38163
702	90026	38033
703	90153	37905
704	90277	37775
705	90407	37648
706	90538	37521
707	90666	37393
708	90791	37264
709	90917	37135
710	91046	37007
711	91171	36878
712	91301	36751
713	91426	36621
714	91555	36494
715	91682	36365
716	91811	36237
717	91940	36110
718	92067	35981
719	92197	35854
720	92319	35724
721	92447	35596
722	92572	35466
723	92695	35337
724	92820	35207
725	92946	35079
726	93070	34949
727	93197	34820
728	93322	34691
729	93448	34563
